,Account,date,daily_pnl,trade_count,avg_trade_size,total_fees,win_rate,long_ratio,classification,value,frequency_segment,consistency_segment,cum_pnl,rolling_max,drawdown
112,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-10,980.557461,157,119.62222929936306,5.81611154,0.6751592356687898,0.7452229299363057,Extreme Greed,78.0,Frequent,Consistent,54930.146934,54930.146934,0.0
113,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-11,1582.001112,93,124.41204301075268,4.121023,0.34408602150537637,0.17204301075268819,Greed,74.0,Frequent,Consistent,56512.148046,56512.148046,0.0
114,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-12,5806.86932,147,150.14530612244897,6.99886242,0.5578231292517006,0.19047619047619047,Extreme Greed,83.0,Frequent,Consistent,62319.017366,62319.017366,0.0
115,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-13,1522.284412,155,88.59193548387097,6.2494111199999995,0.45806451612903226,0.535483870967742,Extreme Greed,76.0,Frequent,Consistent,63841.301778,63841.301778,0.0
116,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-14,13281.73126,154,187.5361038961039,9.858389,0.7727272727272727,0.2922077922077922,Extreme Greed,83.0,Frequent,Consistent,77123.033038,77123.033038,0.0
117,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-15,5389.96219,137,125.00722627737227,6.5299154,0.49635036496350365,0.44525547445255476,Extreme Greed,80.0,Frequent,Consistent,82512.995228,82512.995228,0.0
118,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-16,13190.248859,230,131.2383043478261,16.93692959,0.6695652173913044,0.3695652173913043,Extreme Greed,83.0,Frequent,Consistent,95703.244087,95703.244087,0.0
119,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-17,4454.939378,181,112.67668508287292,6.70647033,0.430939226519337,0.5414364640883977,Extreme Greed,87.0,Frequent,Consistent,100158.183465,100158.183465,0.0
120,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-18,3624.489655,191,124.92068062827224,7.0983362,0.418848167539267,0.5340314136125655,Extreme Greed,81.0,Frequent,Consistent,103782.67312,103782.67312,0.0
121,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-19,1525.329937,204,197.00485294117647,13.84405958,0.39215686274509803,0.7794117647058824,Extreme Greed,75.0,Frequent,Consistent,105308.003057,105308.003057,0.0
